tank_capacity,strategy,mean_satisfaction_pct,std_satisfaction_pct
10,Baseline,4.2,1.1
10,Fair-share,5.8,1.3
10,AquaGrow,5.7,1.2
20,Baseline,9.1,2.4
20,Fair-share,14.0,6.2
20,AquaGrow,13.2,5.1
30,Baseline,14.2,4.1
30,Fair-share,32.5,15.5
30,AquaGrow,30.9,14.1
40,Baseline,18.4,3.4
40,Fair-share,53.0,19.9
40,AquaGrow,50.8,19.8
50,Baseline,18.9,2.4
50,Fair-share,66.2,19.2
50,AquaGrow,65.0,19.5
60,Baseline,19.7,2.6
60,Fair-share,80.7,17.2
60,AquaGrow,80.2,17.0
75,Baseline,21.2,2.6
75,Fair-share,85.2,14.2
75,AquaGrow,84.9,14.4
100,Baseline,21.4,0.9
100,Fair-share,96.0,6.3
100,AquaGrow,95.9,6.3
125,Baseline,21.8,0.9
125,Fair-share,98.7,3.5
125,AquaGrow,98.7,3.5
150,Baseline,21.7,0.6
150,Fair-share,98.8,4.0
150,AquaGrow,98.8,4.0
